2025-02-04 01:14:16,076 - MainThread - {"mqtt": {"ip": "localhost", "port": 1883, "topic_filter": "/yida/+/+"}, "devices_conf_csv": "device_conf.csv"}
2025-02-04 01:14:16,076 - MainThread - The receiver client has been created. The client id is AI_Subscribe_afccaac0-222e-4ca9-ade1-598c79c764e0
2025-02-04 01:14:16,076 - MainThread - The receiver client has connected to ip localhost port 1883
2025-02-04 01:14:16,077 - MainThread - The receiver thread is bind to thread id 126507978077760 name mqtt_clinet_receiver
2025-02-04 01:14:16,077 - MainThread - The receiver thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
2025-02-04 01:14:16,077 - MainThread - The length of message queue is 0
2025-02-04 01:14:16,078 - MainThread - The schedule thread is created id 126507969685056 name schedule_thread
2025-02-04 01:14:16,078 - MainThread - The schedule thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
schedule_thread
2025-02-04 01:14:16,080 - MainThread - The write_influxdb_thread thread is created id 126507961292352 name write_influxdb_thread
2025-02-04 01:14:16,080 - MainThread - The write_influxdb_thread thread is added to thread list
The thread_list has:
mqtt_clinet_receiver
schedule_thread
write_influxdb_thread
2025-02-04 01:14:18,402 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,402 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,402 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,403 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,403 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,403 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,403 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,404 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,404 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,404 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,405 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,405 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,405 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,405 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,405 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,406 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,406 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,406 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,407 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,407 - schedule_thread - Get a message out of the queue, the length of it is 21
2025-02-04 01:14:18,407 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 22
2025-02-04 01:14:18,407 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 23
2025-02-04 01:14:18,408 - schedule_thread - Get a message out of the queue, the length of it is 22
2025-02-04 01:14:18,408 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 23
2025-02-04 01:14:18,408 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 24
2025-02-04 01:14:18,408 - schedule_thread - Get a message out of the queue, the length of it is 23
2025-02-04 01:14:18,408 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 24
2025-02-04 01:14:18,409 - schedule_thread - Get a message out of the queue, the length of it is 23
2025-02-04 01:14:18,409 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 24
2025-02-04 01:14:18,409 - schedule_thread - Get a message out of the queue, the length of it is 23
2025-02-04 01:14:18,409 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 24
2025-02-04 01:14:18,410 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 25
2025-02-04 01:14:18,410 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 26
2025-02-04 01:14:18,410 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 27
2025-02-04 01:14:18,410 - schedule_thread - Get a message out of the queue, the length of it is 26
2025-02-04 01:14:18,410 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 27
2025-02-04 01:14:18,410 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 28
2025-02-04 01:14:18,411 - schedule_thread - Get a message out of the queue, the length of it is 27
2025-02-04 01:14:18,411 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 28
2025-02-04 01:14:18,411 - schedule_thread - Get a message out of the queue, the length of it is 27
2025-02-04 01:14:18,411 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 28
2025-02-04 01:14:18,412 - schedule_thread - Get a message out of the queue, the length of it is 27
2025-02-04 01:14:18,412 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 28
2025-02-04 01:14:18,412 - schedule_thread - Get a message out of the queue, the length of it is 27
2025-02-04 01:14:18,412 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 28
2025-02-04 01:14:18,413 - schedule_thread - Get a message out of the queue, the length of it is 27
2025-02-04 01:14:18,413 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 28
2025-02-04 01:14:18,413 - schedule_thread - Get a message out of the queue, the length of it is 27
2025-02-04 01:14:18,413 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 28
2025-02-04 01:14:18,414 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 29
2025-02-04 01:14:18,414 - schedule_thread - Get a message out of the queue, the length of it is 28
2025-02-04 01:14:18,414 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 29
2025-02-04 01:14:18,414 - schedule_thread - Get a message out of the queue, the length of it is 28
2025-02-04 01:14:18,414 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 29
2025-02-04 01:14:18,415 - schedule_thread - Get a message out of the queue, the length of it is 28
2025-02-04 01:14:18,415 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 29
2025-02-04 01:14:18,415 - schedule_thread - Get a message out of the queue, the length of it is 28
2025-02-04 01:14:18,415 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 29
2025-02-04 01:14:18,416 - schedule_thread - Get a message out of the queue, the length of it is 28
2025-02-04 01:14:18,416 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 29
2025-02-04 01:14:18,416 - schedule_thread - Get a message out of the queue, the length of it is 28
2025-02-04 01:14:18,416 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 29
2025-02-04 01:14:18,417 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 30
2025-02-04 01:14:18,417 - schedule_thread - Get a message out of the queue, the length of it is 29
2025-02-04 01:14:18,417 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 30
2025-02-04 01:14:18,417 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 31
2025-02-04 01:14:18,417 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 32
2025-02-04 01:14:18,418 - schedule_thread - Get a message out of the queue, the length of it is 31
2025-02-04 01:14:18,418 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 32
2025-02-04 01:14:18,418 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 33
2025-02-04 01:14:18,418 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 34
2025-02-04 01:14:18,418 - schedule_thread - Get a message out of the queue, the length of it is 33
2025-02-04 01:14:18,418 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 34
2025-02-04 01:14:18,419 - schedule_thread - Get a message out of the queue, the length of it is 33
2025-02-04 01:14:18,419 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 34
2025-02-04 01:14:18,419 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 35
2025-02-04 01:14:18,420 - schedule_thread - Get a message out of the queue, the length of it is 34
2025-02-04 01:14:18,420 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 35
2025-02-04 01:14:18,420 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 36
2025-02-04 01:14:18,420 - schedule_thread - Get a message out of the queue, the length of it is 35
2025-02-04 01:14:18,420 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 36
2025-02-04 01:14:18,421 - schedule_thread - Get a message out of the queue, the length of it is 35
2025-02-04 01:14:18,421 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 36
2025-02-04 01:14:18,421 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 37
2025-02-04 01:14:18,421 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 38
2025-02-04 01:14:18,421 - schedule_thread - Get a message out of the queue, the length of it is 37
2025-02-04 01:14:18,422 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 38
2025-02-04 01:14:18,422 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 39
2025-02-04 01:14:18,422 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 40
2025-02-04 01:14:18,422 - schedule_thread - Get a message out of the queue, the length of it is 39
2025-02-04 01:14:18,422 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 40
2025-02-04 01:14:18,423 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 41
2025-02-04 01:14:18,423 - schedule_thread - Get a message out of the queue, the length of it is 40
2025-02-04 01:14:18,423 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 41
2025-02-04 01:14:18,423 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,423 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,424 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,424 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,424 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,424 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,424 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,425 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,425 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,426 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,426 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,426 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,427 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,427 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,427 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,427 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,428 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,428 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,428 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,429 - schedule_thread - Get a message out of the queue, the length of it is 41
2025-02-04 01:14:18,429 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 42
2025-02-04 01:14:18,429 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 43
2025-02-04 01:14:18,429 - schedule_thread - Get a message out of the queue, the length of it is 42
2025-02-04 01:14:18,430 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 43
2025-02-04 01:14:18,430 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 44
2025-02-04 01:14:18,430 - schedule_thread - Get a message out of the queue, the length of it is 43
2025-02-04 01:14:18,430 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 44
2025-02-04 01:14:18,430 - mqtt_clinet_receiver - Put a new message into the queue, the length of it is 45
